transaction_id,transaction_date,transaction_time,store_id,store_location,product_id,transaction_qty,unit_price,Total_Bill,product_category,product_type,product_detail,Size,Month Name,Day Name,Hour,Month,Day of Week
1,1/1/2023,7:06:11,5,Lower Manhattan,32,2,3,6,Coffee,Gourmet brewed coffee,Ethiopia,Regular,January,Sunday,7,1,6
2,1/1/2023,7:08:56,5,Lower Manhattan,57,2,3.1,6.2,Tea,Brewed Chai tea,Spicy Eye Opener Chai,Large,January,Sunday,7,1,6
3,1/1/2023,7:14:04,5,Lower Manhattan,59,2,4.5,9,Drinking Chocolate,Hot chocolate,Dark chocolate,Large,January,Sunday,7,1,6
4,1/1/2023,7:20:24,5,Lower Manhattan,22,1,2,2,Coffee,Drip coffee,Our Old Time Diner Blend,Small,January,Sunday,7,1,6
5,1/1/2023,7:22:41,5,Lower Manhattan,57,2,3.1,6.2,Tea,Brewed Chai tea,Spicy Eye Opener Chai,Large,January,Sunday,7,1,6
6,1/1/2023,7:22:41,5,Lower Manhattan,77,1,3,3,Bakery,Scone,Oatmeal Scone,Not Defined,January,Sunday,7,1,6
7,1/1/2023,7:25:49,5,Lower Manhattan,22,1,2,2,Coffee,Drip coffee,Our Old Time Diner Blend,Small,January,Sunday,7,1,6
8,1/1/2023,7:33:34,5,Lower Manhattan,28,2,2,4,Coffee,Gourmet brewed coffee,Columbian Medium Roast,Small,January,Sunday,7,1,6
9,1/1/2023,7:39:13,5,Lower Manhattan,39,1,4.25,4.25,Coffee,Barista Espresso,Latte,Regular,January,Sunday,7,1,6
10,1/1/2023,7:39:34,5,Lower Manhattan,58,2,3.5,7,Drinking Chocolate,Hot chocolate,Dark chocolate,Regular,January,Sunday,7,1,6
11,1/1/2023,7:43:05,5,Lower Manhattan,56,1,2.55,2.55,Tea,Brewed Chai tea,Spicy Eye Opener Chai,Regular,January,Sunday,7,1,6
12,1/1/2023,7:44:35,5,Lower Manhattan,33,2,3.5,7,Coffee,Gourmet brewed coffee,Ethiopia,Large,January,Sunday,7,1,6
13,1/1/2023,7:45:51,5,Lower Manhattan,51,1,3,3,Tea,Brewed Black tea,Earl Grey,Large,January,Sunday,7,1,6
14,1/1/2023,7:48:19,5,Lower Manhattan,57,1,3.1,3.1,Tea,Brewed Chai tea,Spicy Eye Opener Chai,Large,January,Sunday,7,1,6
15,1/1/2023,7:52:36,5,Lower Manhattan,87,2,3,6,Coffee,Barista Espresso,Ouro Brasileiro shot,Not Defined,January,Sunday,7,1,6
16,1/1/2023,7:59:58,5,Lower Manhattan,47,2,3,6,Tea,Brewed Green tea,Serenity Green Tea,Large,January,Sunday,7,1,6
17,1/1/2023,7:59:58,5,Lower Manhattan,79,1,3.75,3.75,Bakery,Scone,Jumbo Savory Scone,Not Defined,January,Sunday,7,1,6
18,1/1/2023,8:00:18,8,Hell's Kitchen,42,1,2.5,2.5,Tea,Brewed herbal tea,Lemon Grass,Regular,January,Sunday,8,1,6
19,1/1/2023,8:00:39,8,Hell's Kitchen,59,2,4.5,9,Drinking Chocolate,Hot chocolate,Dark chocolate,Large,January,Sunday,8,1,6
20,1/1/2023,8:11:45,8,Hell's Kitchen,61,1,4.75,4.75,Drinking Chocolate,Hot chocolate,Sustainably Grown Organic,Large,January,Sunday,8,1,6
21,1/1/2023,8:17:27,8,Hell's Kitchen,33,2,3.5,7,Coffee,Gourmet brewed coffee,Ethiopia,Large,January,Sunday,8,1,6
22,1/1/2023,8:24:26,5,Lower Manhattan,56,2,2.55,5.1,Tea,Brewed Chai tea,Spicy Eye Opener Chai,Regular,January,Sunday,8,1,6
23,1/1/2023,8:24:26,5,Lower Manhattan,69,1,3.25,3.25,Bakery,Biscotti,Hazelnut Biscotti,Not Defined,January,Sunday,8,1,6
24,1/1/2023,8:29:38,8,Hell's Kitchen,56,1,2.55,2.55,Tea,Brewed Chai tea,Spicy Eye Opener Chai,Regular,January,Sunday,8,1,6
25,1/1/2023,8:31:23,8,Hell's Kitchen,40,1,3.75,3.75,Coffee,Barista Espresso,Cappuccino,Not Defined,January,Sunday,8,1,6
26,1/1/2023,8:33:08,5,Lower Manhattan,43,1,3,3,Tea,Brewed herbal tea,Lemon Grass,Large,January,Sunday,8,1,6
27,1/1/2023,8:33:08,5,Lower Manhattan,76,1,3.5,3.5,Bakery,Biscotti,Chocolate Chip Biscotti,Not Defined,January,Sunday,8,1,6
28,1/1/2023,8:35:03,5,Lower Manhattan,45,2,3,6,Tea,Brewed herbal tea,Peppermint,Large,January,Sunday,8,1,6
29,1/1/2023,8:35:03,5,Lower Manhattan,71,1,3.75,3.75,Bakery,Pastry,Chocolate Croissant,Not Defined,January,Sunday,8,1,6
30,1/1/2023,8:41:57,8,Hell's Kitchen,40,2,3.75,7.5,Coffee,Barista Espresso,Cappuccino,Not Defined,January,Sunday,8,1,6
31,1/1/2023,8:52:03,8,Hell's Kitchen,38,1,3.75,3.75,Coffee,Barista Espresso,Latte,Not Defined,January,Sunday,8,1,6
32,1/1/2023,8:52:32,5,Lower Manhattan,26,1,3,3,Coffee,Organic brewed coffee,Brazilian,Regular,January,Sunday,8,1,6
33,1/1/2023,8:54:33,5,Lower Manhattan,27,2,3.5,7,Coffee,Organic brewed coffee,Brazilian,Large,January,Sunday,8,1,6
34,1/1/2023,8:56:27,5,Lower Manhattan,29,2,2.5,5,Coffee,Gourmet brewed coffee,Columbian Medium Roast,Regular,January,Sunday,8,1,6
35,1/1/2023,8:57:46,8,Hell's Kitchen,54,1,2.5,2.5,Tea,Brewed Chai tea,Morning Sunrise Chai,Regular,January,Sunday,8,1,6
36,1/1/2023,8:58:55,5,Lower Manhattan,26,1,3,3,Coffee,Organic brewed coffee,Brazilian,Regular,January,Sunday,8,1,6
37,1/1/2023,9:00:12,5,Lower Manhattan,55,1,4,4,Tea,Brewed Chai tea,Morning Sunrise Chai,Large,January,Sunday,9,1,6
